,street_add,city,state,zip,l1_ports,l2_ports,l3_ports,sum_ports,ev_network,longitude,latitude,ev_sockets,geometry,vehicle
1608,951 Spruce St,Louisville,CO,80027,0,2,0,2,ChargePoint Network,-105.131187,39.978074,1,POINT (-105.131187 39.978074),
1609,955 17th St,Boulder,CO,80302,0,2,0,2,ChargePoint Network,-105.271564,40.004521,1,POINT (-105.271564 40.004521),
1610,955 Chambers Ave,Eagle,CO,81631,0,2,0,2,ChargePoint Network,-106.816998,39.663905,1,POINT (-106.816998 39.663905),
1611,955 Chambers Ave,Eagle,CO,81631,0,2,0,2,ChargePoint Network,-106.816901,39.66393,1,POINT (-106.816901 39.66393),
1612,9551 Civic Center Dr,Thornton,CO,80229,0,2,0,2,ChargePoint Network,-104.985334,39.869799,1,POINT (-104.985334 39.869799),
1613,9555 East County Line Road,Centennial,CO,80112,0,0,12,12,Tesla,-104.877979,39.567205,3,POINT (-104.877979 39.567205),
1614,9575 E 40th Ave,Denver,CO,80238,0,4,0,4,AMPUP,-104.87708,39.77476,1,POINT (-104.87708 39.77476),
1615,9579 S University Blvd,Highlands Ranch,CO,80126,0,1,0,1,eVgo Network,-104.939405,39.541254,1,POINT (-104.939405 39.541254),
1616,9586 E I-25 Frontage Rd,Longmont,CO,80504,0,0,1,1,ChargePoint Network,-104.979449,40.139984,"4, 2",POINT (-104.979449 40.139984),
1617,9586 E I-25 Frontage Rd,Longmont,CO,80504,0,2,0,2,ChargePoint Network,-104.97944,40.139862,1,POINT (-104.97944 40.139862),
1618,9586 E I-25 Frontage Rd,Longmont,CO,80504,0,2,0,2,ChargePoint Network,-104.97945,40.139915,1,POINT (-104.97945 40.139915),
1619,9601 East Panorama Drive,Centennial,CO,80112,0,1,0,1,SemaCharge Network,-104.882778,39.577935,1,POINT (-104.882778 39.577935),
1620,974 Landmark Way,Fort Collins,CO,80524,0,2,0,2,ChargePoint Network,-105.060351,40.600133,1,POINT (-105.060351 40.600133),
1621,98 Moffat Ave,Yampa,CO,80483,0,0,1,1,ChargePoint Network,-106.908078,40.150096,"4, 2",POINT (-106.908078 40.150096),
1622,9800 East IKEA Way,Centennial,CO,80112,0,1,0,1,ChargePoint Network,-104.874029,39.571429,1,POINT (-104.874029 39.571429),
1623,9800 East IKEA Way,Centennial,CO,80112,0,1,0,1,ChargePoint Network,-104.874025,39.571485,1,POINT (-104.874025 39.571485),
1624,9800 East IKEA Way,Centennial,CO,80112,0,1,0,1,ChargePoint Network,-104.874027,39.571458,1,POINT (-104.874027 39.571458),
1625,99 Bear Creek Ave,Morrison,CO,80465,0,2,0,2,ChargePoint Network,-105.18804,39.653124,1,POINT (-105.18804 39.653124),
1626,99 E Arizona Ave,Denver,CO,80210,0,2,0,2,ChargePoint Network,-104.986546,39.695552,1,POINT (-104.986546 39.695552),
1627,99 E Arizona Ave,Denver,CO,80210,0,2,0,2,ChargePoint Network,-104.987091,39.694567,1,POINT (-104.987091 39.694567),
1628,99 E Arizona Ave,Denver,CO,80210,0,2,0,2,ChargePoint Network,-104.986511,39.695536,1,POINT (-104.986511 39.695536),
1629,99 Midland Spur,Basalt,CO,81621,0,0,1,1,ChargePoint Network,-107.035824,39.368859,"4, 2",POINT (-107.035824 39.368859),
1630,99 S 3rd St,Frisco,CO,80443,0,2,0,2,ChargePoint Network,-106.09899,39.57501,1,POINT (-106.09899 39.57501),
1631,990 Lakepoint Drive,Frisco,CO,80443,0,2,0,2,SemaCharge Network,-106.093641,39.591517,1,POINT (-106.093641 39.591517),
1632,9901 GRANT ST,Thornton,CO,80229,0,0,4,4,Electrify America,-104.98436,39.87568,"4, 2",POINT (-104.98436 39.87568),
1633,9960 Santa Fe Trail,Trinidad,CO,81082,0,0,9,9,Tesla,-104.519352,37.134167,3,POINT (-104.519352 37.134167),
1634,9970 Wadsworth Pkwy,Westminster,CO,80021,0,1,0,1,SemaCharge Network,-105.095508,39.877738,1,POINT (-105.095508 39.877738),
1635,9985 Park Meadows Dr,Lone Tree,CO,80124,0,4,0,4,Tesla Destination,-104.876384,39.554428,"1, 3",POINT (-104.876384 39.554428),
1636,999 18th St,Denver,CO,80202,0,2,0,2,ChargePoint Network,-104.991305,39.74886,1,POINT (-104.991305 39.74886),
1637,999 18th St,Denver,CO,80202,0,2,0,2,ChargePoint Network,-104.991452,39.749085,1,POINT (-104.991452 39.749085),
1638,99s 3rd Ave,Frisco,CO,80443,0,2,0,2,ChargePoint Network,-106.098962,39.574924,1,POINT (-106.098962 39.574924),
1639,99s 3rd Ave,Frisco,CO,80443,0,2,0,2,ChargePoint Network,-106.098976,39.574963,1,POINT (-106.098976 39.574963),
1640,Arkansas Point Rd,Pueblo,CO,81005,0,1,0,1,RIVIAN_WAYPOINTS,-104.7357412,38.2511904,1,POINT (-104.7357412 38.2511904),
1641,Brush Creek Park and Ride - Highway 82 and Brush Creek Rd.,Aspen,CO,81611,0,1,0,1,SemaCharge Network,-106.882702,39.250026,1,POINT (-106.882702 39.250026),
1642,"Centennial Park, San Juan River Walk",Pagosa Springs,CO,81147,0,2,0,2,ChargePoint Network,-107.012121,37.26566,1,POINT (-107.012121 37.26566),
1643,CO-119,Boulder,CO,80301,0,2,0,2,ChargePoint Network,-105.241452,40.042942,1,POINT (-105.241452 40.042942),
1644,CO-119,Boulder,CO,80301,0,2,0,2,ChargePoint Network,-105.241392,40.042961,1,POINT (-105.241392 40.042961),
1645,E 17th Pl,Aurora,CO,80045,0,2,0,2,ChargePoint Network,-104.834091,39.744143,1,POINT (-104.834091 39.744143),
