,vehicle,seed,sum_ports,fal_typ,geometry,longitude,latitude
0,10,952366,4,Chargers out of range,POINT (-103.53784 37.0203),-103.53784,37.0203
1,10,958540,4,Chargers out of range,POINT (-103.40203 36.98815),-103.40203,36.98815
2,10,961391,4,Chargers out of range,POINT (-102.07177 39.83325),-102.07177,39.83325
3,10,961450,4,Chargers out of range,POINT (-103.58677 37.06847),-103.58677,37.06847
4,10,963294,4,Chargers out of range,POINT (-103.39717 36.9838),-103.39717,36.9838
5,10,964237,4,Chargers out of range,POINT (-108.58268 39.63291),-108.58268,39.63291
6,10,964342,4,Chargers out of range,POINT (-107.41963 40.06247),-107.41963,40.06247
7,10,968468,4,Chargers out of range,POINT (-103.53929 37.02159),-103.53929,37.02159
8,10,968971,4,Chargers out of range,POINT (-105.7873 40.80775),-105.7873,40.80775
9,10,969027,4,Chargers out of range,POINT (-102.34854 39.72721),-102.34854,39.72721
10,10,969142,4,Chargers out of range,POINT (-105.8399 40.82358),-105.8399,40.82358
11,10,969387,4,Chargers out of range,POINT (-108.6803 39.72531),-108.6803,39.72531
12,10,971681,4,Chargers out of range,POINT (-103.39717 36.9838),-103.39717,36.9838
13,12,955108,4,Chargers out of range,POINT (-105.37257 37.70802),-105.37257,37.70802
14,12,956708,4,Chargers out of range,POINT (-105.37778 37.72103),-105.37778,37.72103
15,12,964379,4,Chargers out of range,POINT (-103.26497 38.66351),-103.26497,38.66351
16,12,964872,4,Chargers out of range,POINT (-106.53808 39.0824),-106.53808,39.0824
17,12,968723,4,Chargers out of range,POINT (-108.56241 39.62304),-108.56241,39.62304
18,12,971676,4,Chargers out of range,POINT (-104.22741 37.83738),-104.22741,37.83738
19,12,971681,4,Chargers out of range,POINT (-103.48815 36.98253),-103.48815,36.98253
20,13,955108,4,Chargers out of range,POINT (-105.40572 37.68083),-105.40572,37.68083
21,13,956708,4,Chargers out of range,POINT (-105.40276 37.74353),-105.40276,37.74353
22,13,963644,4,Chargers out of range,POINT (-105.41982 37.73729),-105.41982,37.73729
23,13,964069,4,Chargers out of range,POINT (-105.38375 37.70008),-105.38375,37.70008
24,13,964379,4,Chargers out of range,POINT (-103.26497 38.66351),-103.26497,38.66351
25,13,964872,4,Chargers out of range,POINT (-106.52425 39.07434),-106.52425,39.07434
26,13,966880,4,Chargers out of range,POINT (-107.42768 40.01152),-107.42768,40.01152
27,13,967109,4,Chargers out of range,POINT (-103.26483 38.68016),-103.26483,38.68016
28,13,968652,4,Chargers out of range,POINT (-105.37123 37.7096),-105.37123,37.7096
29,13,968723,4,Chargers out of range,POINT (-108.53955 39.60641),-108.53955,39.60641
30,13,970844,4,Chargers out of range,POINT (-106.36326 38.75999),-106.36326,38.75999
31,13,971681,4,Chargers out of range,POINT (-103.50263 37.00882),-103.50263,37.00882
32,14,951867,4,Chargers out of range,POINT (-108.46414 39.79436),-108.46414,39.79436
33,14,953296,4,Chargers out of range,POINT (-103.84869 37.54269),-103.84869,37.54269
