,vehicle,seed,sum_ports,fal_typ,geometry,longitude,latitude
64,10,954093,4,Chargers out of range,POINT (-103.03164 37.23567),-103.03164,37.23567
65,10,954117,4,Chargers out of range,POINT (-103.00822 37.27918),-103.00822,37.27918
66,10,954139,4,Chargers out of range,POINT (-103.08393 37.27918),-103.08393,37.27918
67,10,954157,4,Chargers out of range,POINT (-108.74073 40.87393),-108.74073,40.87393
68,10,954189,4,Chargers out of range,POINT (-102.17351 38.84957),-102.17351,38.84957
69,10,954208,4,Chargers out of range,POINT (-102.1892 38.85026),-102.1892,38.85026
70,10,954225,4,Chargers out of range,POINT (-108.38142 40.63016),-108.38142,40.63016
71,10,954232,4,Chargers out of range,POINT (-102.42515 38.75728),-102.42515,38.75728
72,10,954278,4,Chargers out of range,POINT (-108.43511 40.74055),-108.43511,40.74055
73,10,954346,4,Chargers out of range,POINT (-108.75187 40.89825),-108.75187,40.89825
74,10,954402,4,Chargers out of range,POINT (-103.64022 37.20977),-103.64022,37.20977
75,10,954473,4,Chargers out of range,POINT (-108.67932 40.62406),-108.67932,40.62406
76,10,954637,4,Chargers out of range,POINT (-108.72778 40.86397),-108.72778,40.86397
77,10,954656,4,Chargers out of range,POINT (-108.69675 40.69247),-108.69675,40.69247
78,10,954710,4,Chargers out of range,POINT (-108.42544 40.89943),-108.42544,40.89943
79,10,954725,4,Chargers out of range,POINT (-108.7377 40.70672),-108.7377,40.70672
80,10,954788,4,Chargers out of range,POINT (-108.53987 40.93131),-108.53987,40.93131
81,10,954818,4,Chargers out of range,POINT (-103.12971 37.17933),-103.12971,37.17933
82,10,954825,4,Chargers out of range,POINT (-108.75322 40.89961),-108.75322,40.89961
83,10,954847,4,Chargers out of range,POINT (-102.42487 38.7103),-102.42487,38.7103
84,10,954876,4,Chargers out of range,POINT (-108.4384 40.88504),-108.4384,40.88504
85,10,954928,4,Chargers out of range,POINT (-108.84348 40.74118),-108.84348,40.74118
86,10,954945,4,Chargers out of range,POINT (-108.97824 40.84767),-108.97824,40.84767
87,10,954959,4,Chargers out of range,POINT (-106.52845 40.97434),-106.52845,40.97434
88,10,954990,4,Chargers out of range,POINT (-108.55549 40.64791),-108.55549,40.64791
89,10,955000,4,Chargers out of range,POINT (-103.05904 37.36615),-103.05904,37.36615
90,10,955026,4,Chargers out of range,POINT (-108.36675 40.83662),-108.36675,40.83662
91,10,955031,4,Chargers out of range,POINT (-106.51755 40.94586),-106.51755,40.94586
92,10,955107,4,Chargers out of range,POINT (-108.72841 40.86874),-108.72841,40.86874
93,10,955144,4,Chargers out of range,POINT (-108.73515 40.84172),-108.73515,40.84172
94,10,955146,4,Chargers out of range,POINT (-108.84382 40.76999),-108.84382,40.76999
95,10,955191,4,Chargers out of range,POINT (-108.73377 40.84882),-108.73377,40.84882
96,10,955218,4,Chargers out of range,POINT (-106.51948 40.94987),-106.51948,40.94987
97,10,955263,4,Chargers out of range,POINT (-102.90701 37.27935),-102.90701,37.27935
98,10,955308,4,Chargers out of range,POINT (-106.70233 38.09205),-106.70233,38.09205
99,10,955339,4,Chargers out of range,POINT (-102.86002 37.36752),-102.86002,37.36752
100,10,955343,4,Chargers out of range,POINT (-108.47563 40.62959),-108.47563,40.62959
101,10,955350,4,Chargers out of range,POINT (-108.72501 40.8666),-108.72501,40.8666
102,10,955372,4,Chargers out of range,POINT (-108.88166 40.73276),-108.88166,40.73276
103,10,955380,4,Chargers out of range,POINT (-108.76592 40.75405),-108.76592,40.75405
104,10,955401,4,Chargers out of range,POINT (-108.73368 40.85356),-108.73368,40.85356
105,10,955413,4,Chargers out of range,POINT (-104.23801 38.69468),-104.23801,38.69468
106,10,955420,4,Chargers out of range,POINT (-104.22007 38.76691),-104.22007,38.76691
107,10,955503,4,Chargers out of range,POINT (-102.85856 37.38193),-102.85856,37.38193
108,10,955513,4,Chargers out of range,POINT (-103.10213 37.27921),-103.10213,37.27921
109,10,955528,4,Chargers out of range,POINT (-102.99542 37.27916),-102.99542,37.27916
110,10,955593,4,Chargers out of range,POINT (-104.26841 38.83917),-104.26841,38.83917
111,10,955615,4,Chargers out of range,POINT (-103.66475 37.20038),-103.66475,37.20038
112,10,955624,4,Chargers out of range,POINT (-108.74105 40.87414),-108.74105,40.87414
113,10,955642,4,Chargers out of range,POINT (-103.03164 37.20672),-103.03164,37.20672
114,10,955687,4,Chargers out of range,POINT (-102.85792 37.38208),-102.85792,37.38208
115,10,955688,4,Chargers out of range,POINT (-108.75235 40.89871),-108.75235,40.89871
116,10,955697,4,Chargers out of range,POINT (-104.30028 38.83904),-104.30028,38.83904
117,10,955737,4,Chargers out of range,POINT (-108.46084 40.96065),-108.46084,40.96065
118,10,955773,4,Chargers out of range,POINT (-108.74835 40.90696),-108.74835,40.90696
119,10,955839,4,Chargers out of range,POINT (-104.08782 38.84012),-104.08782,38.84012
120,10,955952,4,Chargers out of range,POINT (-102.86002 37.3718),-102.86002,37.3718
121,10,955956,4,Chargers out of range,POINT (-104.03113 38.68188),-104.03113,38.68188
122,10,955965,4,Chargers out of range,POINT (-102.85602 37.38209),-102.85602,37.38209
123,10,955968,4,Chargers out of range,POINT (-108.58982 40.65846),-108.58982,40.65846
124,10,956003,4,Chargers out of range,POINT (-106.40412 38.99519),-106.40412,38.99519
125,10,956013,4,Chargers out of range,POINT (-104.23687 38.83928),-104.23687,38.83928
126,10,956026,4,Chargers out of range,POINT (-108.53312 40.93267),-108.53312,40.93267
127,10,956052,4,Chargers out of range,POINT (-108.89828 40.81734),-108.89828,40.81734
128,10,956064,4,Chargers out of range,POINT (-105.81043 40.8988),-105.81043,40.8988
129,10,956069,4,Chargers out of range,POINT (-104.04028 38.83986),-104.04028,38.83986
130,10,956096,4,Chargers out of range,POINT (-103.03149 37.17564),-103.03149,37.17564
131,10,956140,4,Chargers out of range,POINT (-104.03847 38.83983),-104.03847,38.83983
132,10,956203,4,Chargers out of range,POINT (-108.5157 40.99071),-108.5157,40.99071
133,10,956207,4,Chargers out of range,POINT (-108.63516 40.68523),-108.63516,40.68523
134,10,956214,4,Chargers out of range,POINT (-108.75339 40.90115),-108.75339,40.90115
135,10,956276,4,Chargers out of range,POINT (-106.51759 40.94646),-106.51759,40.94646
136,10,956417,4,Chargers out of range,POINT (-108.5604 40.64935),-108.5604,40.64935
137,10,956484,4,Chargers out of range,POINT (-108.73335 40.8551),-108.73335,40.8551
138,10,956545,4,Chargers out of range,POINT (-102.49458 38.6932),-102.49458,38.6932
139,10,956596,4,Chargers out of range,POINT (-102.09061 38.81327),-102.09061,38.81327
140,10,956635,4,Chargers out of range,POINT (-103.23783 37.04303),-103.23783,37.04303
141,10,956677,4,Chargers out of range,POINT (-108.75322 40.89961),-108.75322,40.89961
142,10,956748,4,Chargers out of range,POINT (-108.84382 40.76999),-108.84382,40.76999
143,10,956807,4,Chargers out of range,POINT (-108.6606 40.69213),-108.6606,40.69213
144,10,956853,4,Chargers out of range,POINT (-102.09036 38.84321),-102.09036,38.84321
145,10,956902,4,Chargers out of range,POINT (-108.5604 40.64935),-108.5604,40.64935
146,10,956904,4,Chargers out of range,POINT (-103.27723 37.05971),-103.27723,37.05971
147,10,956914,4,Chargers out of range,POINT (-108.54823 40.73705),-108.54823,40.73705
148,10,956978,4,Chargers out of range,POINT (-102.12811 38.84564),-102.12811,38.84564
149,10,956979,4,Chargers out of range,POINT (-103.25188 37.04359),-103.25188,37.04359
150,10,957026,4,Chargers out of range,POINT (-103.03171 37.2769),-103.03171,37.2769
151,10,957068,4,Chargers out of range,POINT (-108.76058 40.72612),-108.76058,40.72612
152,10,957141,4,Chargers out of range,POINT (-108.40161 40.61419),-108.40161,40.61419
153,10,957240,4,Chargers out of range,POINT (-108.82665 40.59362),-108.82665,40.59362
154,10,957244,4,Chargers out of range,POINT (-108.51807 40.71619),-108.51807,40.71619
155,10,957254,4,Chargers out of range,POINT (-108.40062 40.69476),-108.40062,40.69476
156,10,957273,4,Chargers out of range,POINT (-108.5482 40.64577),-108.5482,40.64577
157,10,957463,4,Chargers out of range,POINT (-108.5325 40.93442),-108.5325,40.93442
158,10,957468,4,Chargers out of range,POINT (-108.83497 40.59744),-108.83497,40.59744
159,10,957469,4,Chargers out of range,POINT (-108.75187 40.89825),-108.75187,40.89825
160,10,957529,4,Chargers out of range,POINT (-104.23687 38.83928),-104.23687,38.83928
161,10,957554,4,Chargers out of range,POINT (-105.78114 40.80649),-105.78114,40.80649
162,10,957600,4,Chargers out of range,POINT (-104.07366 38.84024),-104.07366,38.84024
163,10,957603,4,Chargers out of range,POINT (-102.96537 37.2792),-102.96537,37.2792
164,10,957638,4,Chargers out of range,POINT (-108.74655 40.70885),-108.74655,40.70885
165,10,957642,4,Chargers out of range,POINT (-102.85652 37.57024),-102.85652,37.57024
166,10,957676,4,Chargers out of range,POINT (-106.54055 39.08563),-106.54055,39.08563
167,10,957749,4,Chargers out of range,POINT (-104.08782 38.84012),-104.08782,38.84012
168,10,957789,4,Chargers out of range,POINT (-106.54849 40.98065),-106.54849,40.98065
169,10,957825,4,Chargers out of range,POINT (-108.47725 40.63036),-108.47725,40.63036
170,10,957848,4,Chargers out of range,POINT (-102.26801 37.29472),-102.26801,37.29472
171,10,957920,4,Chargers out of range,POINT (-104.14641 38.92633),-104.14641,38.92633
172,10,957988,4,Chargers out of range,POINT (-102.85792 37.38208),-102.85792,37.38208
173,10,958007,4,Chargers out of range,POINT (-104.10325 38.83998),-104.10325,38.83998
174,10,958029,4,Chargers out of range,POINT (-108.76553 40.75003),-108.76553,40.75003
175,10,958042,4,Chargers out of range,POINT (-102.90209 37.36639),-102.90209,37.36639
176,10,958076,4,Chargers out of range,POINT (-102.90482 37.28074),-102.90482,37.28074
177,10,958086,4,Chargers out of range,POINT (-108.56176 39.79685),-108.56176,39.79685
178,10,958110,4,Chargers out of range,POINT (-108.88019 40.89684),-108.88019,40.89684
179,10,958158,4,Chargers out of range,POINT (-108.44008 40.66274),-108.44008,40.66274
180,10,958173,4,Chargers out of range,POINT (-108.46143 40.9582),-108.46143,40.9582
181,10,958260,4,Chargers out of range,POINT (-108.38479 40.65785),-108.38479,40.65785
182,10,958261,4,Chargers out of range,POINT (-102.43432 37.10535),-102.43432,37.10535
183,10,958274,4,Chargers out of range,POINT (-108.4765 40.6301),-108.4765,40.6301
184,10,958314,4,Chargers out of range,POINT (-108.71133 40.69562),-108.71133,40.69562
185,10,958337,4,Chargers out of range,POINT (-104.03822 38.83983),-104.03822,38.83983
186,10,958339,4,Chargers out of range,POINT (-108.75152 40.71615),-108.75152,40.71615
187,10,958340,4,Chargers out of range,POINT (-102.94108 37.27926),-102.94108,37.27926
188,10,958370,4,Chargers out of range,POINT (-104.09132 38.78198),-104.09132,38.78198
189,10,958387,4,Chargers out of range,POINT (-102.94108 37.27926),-102.94108,37.27926
190,10,958403,4,Chargers out of range,POINT (-108.41549 40.92223),-108.41549,40.92223
191,10,958430,4,Chargers out of range,POINT (-108.5325 40.93442),-108.5325,40.93442
192,10,958507,4,Chargers out of range,POINT (-102.91314 37.27932),-102.91314,37.27932
193,10,958540,4,Chargers out of range,POINT (-103.40203 36.98815),-103.40203,36.98815
194,10,958559,4,Chargers out of range,POINT (-108.47523 40.6293),-108.47523,40.6293
195,10,958721,4,Chargers out of range,POINT (-102.54754 38.66204),-102.54754,38.66204
196,10,958833,4,Chargers out of range,POINT (-108.83839 40.59568),-108.83839,40.59568
197,10,958835,4,Chargers out of range,POINT (-108.41738 40.72457),-108.41738,40.72457
198,10,958885,4,Chargers out of range,POINT (-102.09061 38.81327),-102.09061,38.81327
199,10,959002,4,Chargers out of range,POINT (-108.44113 40.7594),-108.44113,40.7594
200,10,959028,4,Chargers out of range,POINT (-103.03038 37.15125),-103.03038,37.15125
201,10,959046,4,Chargers out of range,POINT (-102.99554 37.2937),-102.99554,37.2937
202,10,959062,4,Chargers out of range,POINT (-108.45233 40.66237),-108.45233,40.66237
203,10,959122,4,Chargers out of range,POINT (-108.41911 40.91008),-108.41911,40.91008
204,10,959135,4,Chargers out of range,POINT (-106.59262 40.98477),-106.59262,40.98477
205,10,959215,4,Chargers out of range,POINT (-108.5334 40.9324),-108.5334,40.9324
206,10,959256,4,Chargers out of range,POINT (-108.53225 40.9351),-108.53225,40.9351
207,10,959304,4,Chargers out of range,POINT (-103.11154 37.38175),-103.11154,37.38175
208,10,959327,4,Chargers out of range,POINT (-102.09036 38.84321),-102.09036,38.84321
209,10,959413,4,Chargers out of range,POINT (-108.60686 40.65914),-108.60686,40.65914
210,10,959451,4,Chargers out of range,POINT (-108.73335 40.8551),-108.73335,40.8551
211,10,959461,4,Chargers out of range,POINT (-102.49837 38.71022),-102.49837,38.71022
212,10,959463,4,Chargers out of range,POINT (-103.08393 37.27918),-103.08393,37.27918
213,10,959464,4,Chargers out of range,POINT (-108.44667 40.79039),-108.44667,40.79039
214,10,959488,4,Chargers out of range,POINT (-108.89858 40.81793),-108.89858,40.81793
215,10,959508,4,Chargers out of range,POINT (-108.84348 40.74118),-108.84348,40.74118
216,10,959567,4,Chargers out of range,POINT (-108.59594 40.66517),-108.59594,40.66517
217,10,959569,4,Chargers out of range,POINT (-108.72815 40.8634),-108.72815,40.8634
218,10,959588,4,Chargers out of range,POINT (-103.08393 37.27918),-103.08393,37.27918
219,10,959742,4,Chargers out of range,POINT (-108.54865 40.64592),-108.54865,40.64592
220,10,959745,4,Chargers out of range,POINT (-102.52485 37.01824),-102.52485,37.01824
221,10,959751,4,Chargers out of range,POINT (-106.5409 39.09232),-106.5409,39.09232
222,10,959801,4,Chargers out of range,POINT (-108.36919 40.84904),-108.36919,40.84904
223,10,959832,4,Chargers out of range,POINT (-108.84415 40.59566),-108.84415,40.59566
224,10,959932,4,Chargers out of range,POINT (-102.34884 39.70186),-102.34884,39.70186
225,10,959952,4,Chargers out of range,POINT (-104.24593 38.83924),-104.24593,38.83924
226,10,959967,4,Chargers out of range,POINT (-107.45331 40.05563),-107.45331,40.05563
227,10,960067,4,Chargers out of range,POINT (-102.90659 37.27938),-102.90659,37.27938
228,10,960076,4,Chargers out of range,POINT (-103.03171 37.2769),-103.03171,37.2769
229,10,960109,4,Chargers out of range,POINT (-108.73456 40.8424),-108.73456,40.8424
230,10,960158,4,Chargers out of range,POINT (-108.64458 39.65357),-108.64458,39.65357
231,10,960220,4,Chargers out of range,POINT (-104.05473 38.84009),-104.05473,38.84009
232,10,960230,4,Chargers out of range,POINT (-104.23673 38.83928),-104.23673,38.83928
233,10,960262,4,Chargers out of range,POINT (-103.06422 37.27915),-103.06422,37.27915
234,10,960294,4,Chargers out of range,POINT (-108.75188 40.72049),-108.75188,40.72049
235,10,960362,4,Chargers out of range,POINT (-108.47563 40.62959),-108.47563,40.62959
236,10,960391,4,Chargers out of range,POINT (-108.42924 40.83393),-108.42924,40.83393
237,10,960395,4,Chargers out of range,POINT (-108.47598 40.62982),-108.47598,40.62982
238,10,960418,4,Chargers out of range,POINT (-108.83553 40.76279),-108.83553,40.76279
239,10,960437,4,Chargers out of range,POINT (-108.87953 40.73836),-108.87953,40.73836
240,10,960449,4,Chargers out of range,POINT (-106.52425 39.07434),-106.52425,39.07434
